run_id,timestamp_utc,host,os_kernel,cpu_model,cpu_microcode,ram_bytes,compiler_name,compiler_version,compiler_flags,library_name,library_commit,algorithm_name,turbo_scaling,rng_source,workspace_commit,bench_command,iterations,warmup_runs,measurement_runs,operation,param_set,message_size,run_index,total_ns,avg_ns,throughput_ops_per_s
20260204T190715Z-12190,2026-02-04T19:07:15Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,xmss-rust,unknown,XMSS,unknown,unknown,da8f5c2,true,1,0,1,keygen,XMSS-SHA2_10_256,32,1,29846016,29846016,33.505
20260204T190715Z-12190,2026-02-04T19:07:15Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,xmss-rust,unknown,XMSS,unknown,unknown,da8f5c2,true,1,0,1,sign,XMSS-SHA2_10_256,32,1,31235840,31235840,32.015
20260204T190715Z-12190,2026-02-04T19:07:15Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,xmss-rust,unknown,XMSS,unknown,unknown,da8f5c2,true,1,0,1,verify,XMSS-SHA2_10_256,32,1,30625024,30625024,32.653
