run_id,timestamp_utc,host,os_kernel,cpu_model,cpu_microcode,ram_bytes,compiler_name,compiler_version,compiler_flags,library_name,library_commit,algorithm_name,turbo_scaling,rng_source,workspace_commit,bench_command,iterations,warmup_runs,measurement_runs,operation,param_set,message_size,run_index,total_ns,avg_ns,throughput_ops_per_s
20260203T182808Z-87856,2026-02-03T18:28:08Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,lms-signature,unknown,LM-OTS,unknown,unknown,da8f5c2,true,1,0,1,keygen,LMOTS_SHA256_N32_W4,32,1,39971072,39971072,25.018
20260203T182808Z-87856,2026-02-03T18:28:08Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,lms-signature,unknown,LM-OTS,unknown,unknown,da8f5c2,true,1,0,1,sign,LMOTS_SHA256_N32_W4,32,1,36837120,36837120,27.147
20260203T182808Z-87856,2026-02-03T18:28:08Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,lms-signature,unknown,LM-OTS,unknown,unknown,da8f5c2,true,1,0,1,verify,LMOTS_SHA256_N32_W4,32,1,35824128,35824128,27.914
