run_id,timestamp_utc,host,os_kernel,cpu_model,cpu_microcode,ram_bytes,compiler_name,compiler_version,compiler_flags,library_name,library_commit,algorithm_name,turbo_scaling,rng_source,workspace_commit,bench_command,iterations,warmup_runs,measurement_runs,operation,param_set,message_size,run_index,total_ns,avg_ns,throughput_ops_per_s
20260203T172457Z-57422,2026-02-03T17:24:57Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,winternitz-ots,unknown,Winternitz OTS (W-OTS),unknown,unknown,da8f5c2,true,1,0,1,keygen,w4-n32-sha256,32,1,36573952,36573952,27.342
20260203T172457Z-57422,2026-02-03T17:24:57Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,winternitz-ots,unknown,Winternitz OTS (W-OTS),unknown,unknown,da8f5c2,true,1,0,1,sign,w4-n32-sha256,32,1,45420032,45420032,22.017
20260203T172457Z-57422,2026-02-03T17:24:57Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,winternitz-ots,unknown,Winternitz OTS (W-OTS),unknown,unknown,da8f5c2,true,1,0,1,verify,w4-n32-sha256,32,1,49785856,49785856,20.086
