run_id,timestamp_utc,host,os_kernel,cpu_model,cpu_microcode,ram_bytes,compiler_name,compiler_version,compiler_flags,library_name,library_commit,algorithm_name,turbo_scaling,rng_source,workspace_commit,bench_command,iterations,warmup_runs,measurement_runs,operation,param_set,message_size,run_index,total_ns,avg_ns,throughput_ops_per_s
20260204T184540Z-7037,2026-02-04T18:45:40Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,hash-sigs,unknown,HSS,unknown,unknown,da8f5c2,true,1,0,1,keygen,HSS_L2_LMS_SHA256_M32_H5+LMOTS_SHA256_N32_W4,32,1,30052096,30052096,33.276
20260204T184540Z-7037,2026-02-04T18:45:40Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,hash-sigs,unknown,HSS,unknown,unknown,da8f5c2,true,1,0,1,sign,HSS_L2_LMS_SHA256_M32_H5+LMOTS_SHA256_N32_W4,32,1,29636096,29636096,33.743
20260204T184540Z-7037,2026-02-04T18:45:40Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,hash-sigs,unknown,HSS,unknown,unknown,da8f5c2,true,1,0,1,verify,HSS_L2_LMS_SHA256_M32_H5+LMOTS_SHA256_N32_W4,32,1,29292032,29292032,34.139
