run_id,timestamp_utc,host,os_kernel,cpu_model,cpu_microcode,ram_bytes,compiler_name,compiler_version,compiler_flags,library_name,library_commit,algorithm_name,turbo_scaling,rng_source,deterministic_rng,rng_seed,prehash,canary_check,stack_check,hash_only,code_size,workspace_commit,bench_command,iterations,warmup_runs,measurement_runs,operation,param_set,message_size,run_index,total_ns,avg_ns,throughput_ops_per_s
20260129T105706Z-16729,2026-01-29T10:57:06Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,lamport-ots,unknown,Lamport OTS,unknown,unknown,0,,0,0,0,0,0,da8f5c2,true,1,0,1,keygen,Lamport-OTS-256,32,1,30042880,30042880,33.286
20260129T105706Z-16729,2026-01-29T10:57:06Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,lamport-ots,unknown,Lamport OTS,unknown,unknown,0,,0,0,0,0,0,da8f5c2,true,1,0,1,sign,Lamport-OTS-256,32,1,30135040,30135040,33.184
20260129T105706Z-16729,2026-01-29T10:57:06Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,lamport-ots,unknown,Lamport OTS,unknown,unknown,0,,0,0,0,0,0,da8f5c2,true,1,0,1,verify,Lamport-OTS-256,32,1,29293056,29293056,34.138
