run_id,timestamp_utc,host,os_kernel,cpu_model,cpu_microcode,ram_bytes,compiler_name,compiler_version,compiler_flags,library_name,library_commit,algorithm_name,turbo_scaling,rng_source,workspace_commit,bench_command,iterations,warmup_runs,measurement_runs,operation,param_set,message_size,run_index,total_ns,avg_ns,throughput_ops_per_s
20260122T102022Z-23147,2026-01-22T10:20:22Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,slh-dsa,unknown,SPHINCS+ (SLH-DSA),unknown,unknown,3ab04fe,true,1,0,1,keygen,SLH-DSA-SHA2-128f,32,1,33440000,33440000,29.904
20260122T102022Z-23147,2026-01-22T10:20:22Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,slh-dsa,unknown,SPHINCS+ (SLH-DSA),unknown,unknown,3ab04fe,true,1,0,1,sign,SLH-DSA-SHA2-128f,32,1,33555968,33555968,29.801
20260122T102022Z-23147,2026-01-22T10:20:22Z,andreis-MacBook-Pro.local,Darwin 25.1.0 arm64,Apple M1 Pro,unknown,17179869184,rustc,rustc 1.87.0-nightly (f4a216d28 2025-03-02),none,slh-dsa,unknown,SPHINCS+ (SLH-DSA),unknown,unknown,3ab04fe,true,1,0,1,verify,SLH-DSA-SHA2-128f,32,1,30654976,30654976,32.621
